Year,Player,Pos,Age,Tm,all_star,championship,PER,FG,3P,2P,FT,AST,STL,BLK,TOV,PTS
2014,Andray Blatche,PF,27,BRK,0,0,18.8,321,15,306,164,112,75,38,110,821
2014,Eric Bledsoe,PG,24,PHO,0,0,19.6,265,50,215,183,235,69,14,143,763
2014,Vander Blue,SG,21,BOS,0,0,0.5,2,0,2,1,1,0,0,2,5
2014,Keith Bogans,SG,33,BOS,0,0,9.9,3,3,0,3,3,1,0,1,12
2014,Andrew Bogut,C,29,GSW,0,0,17,235,0,235,22,112,47,121,97,492
2014,Matt Bonner,PF,33,SAS,0,1,11.2,73,42,31,9,31,15,11,16,197
2014,Trevor Booker,PF,26,WAS,0,0,15,222,0,222,47,64,41,45,58,491
2014,Carlos Boozer,PF,32,CHI,0,0,14.4,447,0,447,148,118,53,22,154,1042
2014,Chris Bosh,C,29,MIA,1,0,19,492,74,418,223,87,80,78,125,1281
2014,Avery Bradley,PG,23,BOS,0,0,12.7,361,79,282,90,85,63,11,96,891
2014,Elton Brand,C,34,ATL,0,0,14,179,0,179,61,74,40,88,60,419
2014,Corey Brewer,SF,27,MIN,0,0,12.7,388,59,329,163,135,151,30,105,998
2014,Ronnie Brewer,SF,28,TOT,0,0,3.4,3,1,2,0,10,6,1,2,7
2014,Ronnie Brewer,SF,28,HOU,0,0,3.5,3,1,2,0,10,6,1,2,7
2014,Ronnie Brewer,SF,28,CHI,0,0,0,0,0,0,0,0,0,0,0,0
2014,Aaron Brooks,PG,29,TOT,0,0,12.5,233,96,137,83,233,52,13,117,645
2014,Aaron Brooks,PG,29,HOU,0,0,11.9,104,54,50,37,83,25,6,51,299
2014,Aaron Brooks,PG,29,DEN,0,0,12.9,129,42,87,46,150,27,7,66,346
2014,MarShon Brooks,SG,25,TOT,0,0,15.5,57,13,44,32,25,14,4,24,159
2014,MarShon Brooks,SG,25,BOS,0,0,10.7,9,2,7,11,4,1,1,7,31
2014,MarShon Brooks,SG,25,GSW,0,0,24.3,5,0,5,3,0,1,0,0,13
2014,MarShon Brooks,SG,25,LAL,0,0,16.5,43,11,32,18,21,12,3,17,115
2014,Lorenzo Brown,PG,23,PHI,0,0,8.2,26,3,23,9,41,13,3,16,64
2014,Shannon Brown,SG,28,TOT,0,0,4.7,24,0,24,15,9,13,0,18,63
2014,Shannon Brown,SG,28,SAS,0,1,-0.5,8,0,8,7,5,1,0,8,23
2014,Shannon Brown,SG,28,NYK,0,0,8.4,16,0,16,8,4,12,0,10,40
2014,Kobe Bryant,SG,35,LAL,1,0,10.7,31,3,28,18,38,7,1,34,83
2014,Chase Budinger,SF,25,MIN,0,0,9.7,100,42,58,32,31,19,2,24,274
2014,Reggie Bullock,SF,22,LAC,0,0,6.7,43,22,21,7,12,9,1,13,115
2014,Trey Burke,PG,21,UTA,0,0,12.6,341,111,230,102,396,42,6,131,895
2014,Alec Burks,SG,22,UTA,0,0,15.8,380,50,330,279,212,69,14,149,1089
2014,Caron Butler,SF,33,TOT,0,0,12.2,213,98,115,63,82,47,17,60,587
2014,Caron Butler,SF,33,MIL,0,0,12.4,137,53,84,47,56,23,11,52,374
2014,Caron Butler,SF,33,OKC,0,0,11.9,76,45,31,16,26,24,6,8,213
2014,Jimmy Butler,SG,24,CHI,0,0,13.5,275,68,207,260,175,127,36,102,878
2014,Rasual Butler,SG,34,IND,0,0,12.2,51,26,25,8,17,7,9,11,136
2014,Dwight Buycks,PG,24,TOR,0,0,7.2,15,5,10,8,10,8,0,10,43
2014,Andrew Bynum,C,26,TOT,0,0,15.2,94,0,94,37,29,6,29,34,225
2014,Andrew Bynum,C,26,CLE,0,0,14.8,85,0,85,32,27,6,28,30,202
2014,Andrew Bynum,C,26,IND,0,0,19.9,9,0,9,5,2,0,1,4,23
2014,Will Bynum,PG,31,DET,0,0,14.4,184,20,164,97,216,39,7,103,485
2014,Nick Calathes,SG,24,MEM,0,0,12.3,142,19,123,44,207,66,8,101,347
2014,Jose Calderon,PG,32,DAL,0,0,15.2,341,191,150,52,377,69,11,103,925
2014,Kentavious Caldwell-Pope,SG,20,DET,0,0,9.4,182,59,123,47,55,75,12,28,470
2014,Isaiah Canaan,PG,22,HOU,0,0,9.5,31,18,13,21,22,8,4,21,101
2014,DeMarre Carroll,SF,27,ATL,0,0,13.9,302,97,205,109,134,108,21,79,810
2014,Vince Carter,SG,37,DAL,0,0,15.9,330,146,184,161,212,61,35,108,967
2014,Michael Carter-Williams,PG,22,PHI,0,0,15.5,427,55,372,258,441,130,43,247,1167
2014,Omri Casspi,PF,25,HOU,0,0,12.9,173,61,112,83,88,44,14,72,490
2014,Mario Chalmers,PG,27,MIA,0,0,14,254,87,167,121,357,119,16,162,716
2014,Tyson Chandler,C,31,NYK,0,0,16.4,191,0,191,98,59,36,63,71,480
2014,Wilson Chandler,SF,26,DEN,0,0,12.4,307,122,185,110,114,46,31,79,846
